key,text,daten,delta,tol,status
inner.eta_rise_pct.const_z.n40,2.2,2.2,0.0,0.3,ok
inner.eta_rise_pct.const_z.n120,5.8,5.8,0.0,0.3,ok
inner.eta_rise_pct.const_z.n350,21.7,21.7,0.0,0.5,ok
inner.vmin_lo.const_z.n350,0.9725,0.9725,0.0,0.001,ok
inner.vmin_hi.const_z.n350,0.8774,0.8774,0.0,0.001,ok
inner.eta_pred_hi.const_z.n350,0.1343,0.13432,1.9999999999992246e-05,0.0005,ok
inner.eta_hi.const_z.n350,0.13306,0.13306,0.0,0.0005,ok
inner.pred_err_pct.const_z.n350,0.9,0.94,0.039999999999999925,0.2,ok
inner.eta_growth.const_x.n40,13.8,13.81,0.009999999999999787,0.2,ok
inner.k_hi.const_x.n40,16.0,16.0,0.0,0.0,ok
inner.vmin_factor.const_x.n40,1.436,1.436,0.0,0.01,ok
inner.crossing.dev_pct,0.2,,,0.1,fehlt
inner.eta_max_success,0.62,0.626,0.006000000000000005,0.02,ok
kappa.mean.n40,0.0126,0.0129,0.0002999999999999999,0.0002,ABWEICHUNG
kappa.mean.n120,0.0326,0.0331,0.0005000000000000004,0.0005,ok
kappa.mean.n350,0.1034,0.1026,-0.000800000000000009,0.001,ok
kappa.spread_pct_max,3.4,7.7,4.300000000000001,0.2,ABWEICHUNG
kappa.exponent_in_n,0.97,0.956,-0.014000000000000012,0.02,ok
xpp.cond_var_pct_max,0.0,0.0,0.0,0.05,ok
xpp.cond_growth_npv.n40,21.7,21.52,-0.17999999999999972,0.3,ok
xpp.cond_growth_npv.n120,28.6,28.71,0.10999999999999943,0.3,ok
xpp.cond_growth_npv.n350,21.6,21.58,-0.020000000000003126,0.3,ok
outer.q_growth.pv0.10,20.2,20.2,0.0,0.5,ok
outer.q_growth.pv0.25,30.1,30.1,0.0,0.5,ok
outer.q_growth.pv0.50,18.7,18.7,0.0,0.5,ok
outer.sens_corr_q,0.67,0.75,0.07999999999999996,0.03,ABWEICHUNG
outer.inner_per_outer_conv_med,5.5,4.5,-1.0,0.2,ABWEICHUNG
outer.k_max_below_limit,7.0,17.0,10.0,0.0,ABWEICHUNG
outer.quote.const_z.coupled,88.9,88.9,0.0,0.3,ok
outer.quote.const_x.coupled,74.4,74.4,0.0,0.3,ok
outer.quote.const_z.decoupled,12.8,12.8,0.0,0.3,ok
outer.rho_star_med.const_z.coupled,7.32,7.32,0.0,0.05,ok
outer.rho_star_med.const_x.coupled,4.64,4.64,0.0,0.05,ok
outer.k_out_med.const_z.coupled,3.0,3.0,0.0,0.0,ok
outer.k_in_med.const_z.coupled,16.5,16.5,0.0,0.5,ok
pred.spearman_outer.sens_error_median,0.899,0.899,0.0,0.01,ok
pred.spearman_outer.rx,0.537,0.537,0.0,0.01,ok
pred.spearman_outer.rho_jacobi,-0.24,-0.24,0.0,0.01,ok
pred.spearman_outer.nodes,-0.068,-0.068,0.0,0.01,ok
pred.n_runs,217.0,217.0,0.0,0.0,ok
nr.faelle.beide,191.0,191.0,0.0,0.0,ok
nr.faelle.keines,41.0,41.0,0.0,0.0,ok
nr.faelle.nur NR,2.0,2.0,0.0,0.0,ok
nr.faelle.nur TPF,0.0,0.0,0.0,0.0,ok
nr.n_runs,234.0,234.0,0.0,0.0,ok
nr.skipped_in_keines,15.0,0.0,-15.0,0.0,ABWEICHUNG
